GeneID,Symbol,log2(fold change)(AD_females vs ctrl),-log10(Pvalue)(AD_females vs ctrl)
5989,RFX1,0.433,2.03
10766,TOB2,0.431,1.327
27005,USP21,0.43,2.652
1375,CPT1B,0.429,1.307
8677,STX10,0.428,1.417
105373195,LOC105373195,0.428,1.528
56652,TWNK,0.427,1.687
23102,TBC1D2B,0.427,1.348
64427,TTC31,0.426,2.154
57189,DENND11,0.426,1.325
6256,RXRA,0.424,1.405
64782,AEN,0.424,1.633
57291,DANCR,0.422,1.348
84991,RBM17,0.422,1.663
84271,POLDIP3,0.421,1.862
83860,TAF3,0.42,1.83
4756,NEO1,0.42,1.53
79709,COLGALT1,0.42,1.4
64319,FBRS,0.419,1.959
55114,ARHGAP17,0.418,1.476
23051,ZHX3,0.418,1.959
9923,ZBTB40,0.417,1.594
107986488,LOC107986488,0.417,1.327
144717,PHETA1,0.414,1.678
162514,TRPV3,0.414,1.321
3480,IGF1R,0.412,1.77
158135,TTLL11,0.41,1.307
54961,SSH3,0.409,1.487
114881,OSBPL7,0.409,1.498
374654,KIF7,0.408,1.38
10493,VAT1,0.408,1.665
22846,VASH1,0.407,1.41
441108,IRF1-AS1,0.406,1.362
51588,PIAS4,0.406,1.724
1186,CLCN7,0.405,2.218
23152,CIC,0.405,1.92
109729182,DM1-AS,0.405,1.577
154007,SNRNP48,0.403,1.311
9742,IFT140,0.403,2.102
5863,RGL2,0.402,1.33
4601,MXI1,0.402,1.363
126208,ZNF787,0.402,1.406
84948,TIGD5,0.401,1.477
1760,DMPK,0.4,1.614
23354,HAUS5,0.397,1.525
55113,XKR8,0.396,1.327
220929,ZNF438,0.396,2.439
57701,NCKAP5L,0.396,1.617
8225,GTPBP6,0.396,1.594
4245,MGAT1,0.394,1.37
10432,RBM14,0.393,1.396
550,AUP1,0.392,1.37
81603,TRIM8,0.392,1.473
22981,NINL,0.392,1.616
89796,NAV1,0.39,1.58
1387,CREBBP,0.39,1.534
9739,SETD1A,0.389,2.116
29998,BICRA,0.388,1.938
9640,ZNF592,0.387,1.934
107984347,LOC107984347,0.386,1.35
2275,FHL3,0.385,1.304
87178,PNPT1,0.385,1.363
5723,PSPH,0.385,1.62
91179,SCARF2,0.385,1.728
25,ABL1,0.383,1.339
27158,NDOR1,0.383,1.487
79834,PEAK1,0.383,1.487
22905,EPN2,0.383,1.417
4215,MAP3K3,0.382,1.409
8879,SGPL1,0.381,1.372
7753,ZNF202,0.381,1.938
4800,NFYA,0.38,1.547
23060,ZNF609,0.379,1.44
55160,ARHGEF10L,0.377,1.766
84765,ZNF577,0.377,1.419
728642,CDK11A,0.375,1.476
4302,MLLT6,0.375,1.959
101928378,PTOV1-AS2,0.374,1.343
22909,FAN1,0.373,1.335
23384,SPECC1L,0.369,1.905
9031,BAZ1B,0.367,1.959
317762,CCDC85C,0.367,1.324
79685,SAP30L,0.365,1.68
79603,CERS4,0.365,1.68
414919,C8orf82,0.363,1.39
65095,KRI1,0.363,1.742
10298,PAK4,0.362,1.555
83549,UCK1,0.361,1.471
125950,RAVER1,0.361,1.58
26505,CNNM3,0.359,1.766
9542,NRG2,0.359,1.9
1822,ATN1,0.359,1.417
55740,ENAH,0.358,1.315
8629,JRK,0.358,2.276
23053,ZSWIM8,0.356,1.695
5587,PRKD1,0.356,1.409
54540,FAM193B,0.355,1.363
29803,REPIN1,0.355,1.829
85446,ZFHX2,0.355,1.542
10620,ARID3B,0.354,1.32
79066,METTL16,0.353,1.617
63027,SLC22A23,0.352,1.58
22985,ACIN1,0.35,2.045
1616,DAXX,0.349,1.758
3643,INSR,0.349,1.697
7392,USF2,0.349,1.51
140685,ZBTB46,0.349,1.328
51720,UIMC1,0.348,1.78
11329,STK38,0.348,1.325
23351,KHNYN,0.348,1.695
114819,CROCCP3,0.346,1.45
23381,SMG5,0.346,2.432
9726,ZNF646,0.346,1.644
57727,NCOA5,0.346,1.427
3068,HDGF,0.344,1.524
55905,RNF114,0.343,1.668
9757,KMT2B,0.342,1.307
84173,ELMOD3,0.341,1.803
139285,AMER1,0.341,1.363
9325,TRIP4,0.34,1.454
10297,APC2,0.34,1.542
23331,TTC28,0.34,1.791
200186,CRTC2,0.339,1.34
124930,ANKRD13B,0.339,1.576
79840,NHEJ1,0.338,1.556
79692,ZNF322,0.337,1.319
100131017,ZNF316,0.337,1.953
200081,TXLNA,0.336,1.766
29072,SETD2,0.336,1.375
9759,HDAC4,0.335,1.594
30827,CXXC1,0.335,1.568
7297,TYK2,0.335,1.426
219988,PATL1,0.334,1.49
9667,SAFB2,0.332,1.525
9564,BCAR1,0.331,1.51
57553,MICAL3,0.331,1.956
9842,PLEKHM1,0.329,1.713
201292,TRIM65,0.326,1.744
10807,ENTR1,0.325,1.484
2788,GNG7,0.325,1.32
203062,TSNARE1,0.323,2.203
55578,SUPT20H,0.323,1.419
79726,WDR59,0.323,1.594
54516,MTRF1L,0.322,1.32
